product_name_es,quantity,brands,categories,nutrition_data_per,nutrition_data_prepared_per,energy-kcal_value,energy-kcal_unit,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,off:food_groups,off:food_groups_tags,off:nova_groups_tags,off:nutriscore_grade,Categoria
Perlas de Mozzarella,1pcs,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Quesos de vaca, Quesos italianos, en:Stretched-curd cheeses, Mozzarella, en:Cow mozzarella",serving,100g,58.2,kcal,4.2,g,3.0,g,0.6,g,0.15,g,4.5,g,0.18,g,0.072,g,58.2,kcal,en:cheese,"en:milk-and-dairy-products,en:cheese",en:3-processed-foods,c,Lácteos y Derivados
Jamón cocido,200 g,Hacendado,"Productos a base de carne, Embutidos, Jamón, Jamón cocido, Productos cárnicos españoles",100g,100g,101.338432122371,kcal,2.5,g,0.5,g,0.9,g,0.9,g,18.6,g,0.0,mg,0.0,mg,424.0,kJ,en:processed-meat,"en:fish-meat-eggs,en:processed-meat",en:4-ultra-processed-food-and-drink-products,a,"Carne, Aves y Productos Cárnicos"
Agua mineral grande Aquarel,"1,5 l",Nestlé,"Boissons et préparations de boissons, Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux minérales naturelles",100g,100g,,,,,,,,,,,,,1.175,mg,0.47,mg,,,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,a,"Bebidas, Agua e Infusiones"
Agua 330 Ml,330ml,Mondariz,"Boissons et préparations de boissons, Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux minérales naturelles",serving,100g,,,,,,,,,,,,,119.0,mg,47.6,mg,,,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,a,"Bebidas, Agua e Infusiones"
Yellow mustard suave,220 ml,Heinz,"Condiments, Sauces, Mustards, Mustard sauces",100g,100g,120.0,kcal,5.2,g,0.3,g,9.4,g,5.3,g,5.6,g,2.5,g,1.0,g,504.0,kJ,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:4-ultra-processed-food-and-drink-products,d,"Salsas, Condimentos y Aditivos"
Tomate triturado,800 g,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Comida y bebida vegetal, Condimentos, Verduras y hortalizas y sus productos, Salsas, Tomates y sus productos, Salsas de tomate, Tomate natural triturado",serving,100g,23.0,kcal,0.0,g,0.0,g,3.8,g,3.0,g,1.1,g,0.0,mg,0.0,mg,23.0,kcal,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:3-processed-foods,a,"Salsas, Condimentos y Aditivos"
Leche Entera,1 l,Hacendado,"Lácteos, Leches, Leche entera, Leche de vaca",serving,100g,63.0,kcal,3.6,g,2.4,g,4.6,g,4.6,g,3.1,g,0.13,g,0.052,g,63.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,c,Lácteos y Derivados
Mix choco con cereales integrales,250 g,Esgir,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Cereales y patatas, Cereales y derivados, Cereales para el desayuno, Cereales de chocolate, Granos inflados, Cereales inflados",100g,100g,380.0,kcal,3.5,g,0.6,g,76.0,g,1.2,g,8.8,g,0.21,g,0.084,g,1591.0,kJ,en:breakfast-cereals,"en:cereals-and-potatoes,en:breakfast-cereals",en:4-ultra-processed-food-and-drink-products,a,"Snacks, Dulces y Postres"
Agua mineral grande,"1,5 l",Lanjarón,"Beverages and beverages preparations, Beverages, Waters, Spring waters, Mineral waters, Natural mineral waters",100g,100g,,,,,,,,,,,,,1.475,mg,0.59,mg,,,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,a,"Bebidas, Agua e Infusiones"
4 quesos,180g,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Productos pasteurizados, Quesos pasteurizados, Queso rallado",100g,100g,354.0,kcal,28.0,g,19.0,g,2.5,g,,,23.0,g,1.8675,g,0.747,g,354.0,kcal,en:cheese,"en:milk-and-dairy-products,en:cheese",en:4-ultra-processed-food-and-drink-products,unknown,Lácteos y Derivados
Yogur natural,960 g,Danone,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Postres, Postres lácteos, en:Fermented dairy desserts, Yogures, en:Plain fermented dairy desserts, Yogures naturales",100g,100g,58.0,kcal,3.3,g,1.7,g,4.3,g,4.3,g,3.3,g,0.11,g,0.044,g,236.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:3-processed-foods,b,Lácteos y Derivados
Leche entera,1 l,Hacendado,"Dairies, Milks, Whole milks, Cow milks",100g,100g,63.0,kcal,3.5999999046326,g,2.4000000953674,g,4.5999999046326,g,4.5999999046326,g,3.0999999046326,g,0.13,g,0.052,g,264.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,c,Lácteos y Derivados
Vivesoy avena original,1 l,Vivesoy,"Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, Cereales y patatas, en:Dairy substitutes, Cereales y derivados, Sustitutos de la leche, Bebidas de origen vegetal, Bebidas vegetales, Bebidas de cereales, Bebidas de avena",100g,100g,49.0,kcal,0.7,g,0.1,g,9.0,g,5.0,g,1.2,g,0.07,g,0.028,g,207.0,kJ,en:plant-based-milk-substitutes,"en:beverages,en:plant-based-milk-substitutes",en:4-ultra-processed-food-and-drink-products,c,"Cereales, Panadería y Pasta"
Agua Mineral Natural,1.5 L,Viladrau,"Bebidas y preparaciones de bebidas, Bebidas, Aguas, Aguas de manantial, Aguas minerales, Aguas minerales naturales",serving,100g,,,,,,,,,,,,,0.0,g,0.0,g,,,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",unknown,a,"Bebidas, Agua e Infusiones"
Pan de molde multicereal,460 g,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Panes, Panes de molde",100g,100g,260.0,kcal,5.8,g,1.0,g,40.0,g,3.5,g,11.0,g,1.3,g,0.52,g,260.0,kcal,en:bread,"en:cereals-and-potatoes,en:bread",en:4-ultra-processed-food-and-drink-products,c,"Cereales, Panadería y Pasta"
Vivesoy soja original,1 l,"Pascual, Vivesoy","Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, Leguminosas y derivados, en:Dairy substitutes, Sustitutos de la leche, Bebidas de origen vegetal, Bebidas vegetales, Leches de leguminosas, Bebidas de soja",100g,100g,41.0,kcal,1.9,g,0.3,g,1.9,g,1.8,g,3.5,g,0.12,g,0.048,g,169.0,kJ,en:plant-based-milk-substitutes,"en:beverages,en:plant-based-milk-substitutes",en:4-ultra-processed-food-and-drink-products,b,"Frutas, Verduras y Legumbres"
Disfruta néctar 10 frutas,200 ml,Juver,"Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Bebidas a base de frutas, Zumos y néctares, Néctares de frutas, Néctares multifruta",100g,100g,25.0,kcal,0.1,g,0.0,g,5.6,g,4.8,g,0.2,g,0.01,g,0.004,g,25.0,kcal,en:artificially-sweetened-beverages,"en:beverages,en:artificially-sweetened-beverages",en:4-ultra-processed-food-and-drink-products,d,"Frutas, Verduras y Legumbres"
Lenteja pardina cocida,neto 570g - escurrido 400g,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Leguminosas y derivados, Conservas, Leguminosas, Comidas preparadas, Semillas, Alimentos de origen vegetal en conserva, Granos de leguminosas, Legumbres secas, Lentejas, Preparados vegetales, Leguminosas en conserva, en:Cooked vegetables, Lentejas cocidas en conserva, Lentejas cocidas",100g,100g,89.0,kcal,0.4,g,0.1,g,10.7,g,0.5,g,8.2,g,1.0,g,0.4,g,374.0,kJ,en:one-dish-meals,"en:composite-foods,en:one-dish-meals",en:3-processed-foods,b,"Frutas, Verduras y Legumbres"
Crema con avellanas,,Dulcinea,"Desayunos, Untables, Untables dulces, fr:Pâtes à tartiner, Cremas a base de avellanas, Cremas de chocolate, Cremas de cacao y avellanas",100g,100g,534.0,kcal,30.0,g,6.4,g,63.0,g,62.0,g,2.5,g,0.2,g,0.08,g,534.0,kcal,en:sweets,"en:sugary-snacks,en:sweets",en:4-ultra-processed-food-and-drink-products,e,"Snacks, Dulces y Postres"
Leche entera,1 l,Milbona,"Lácteos, en:Milks (liquid and powder), Leches, Leches homogeneizadas, Productos pasteurizados, Leche UHT, Leche entera, Leche de vaca",100g,100g,63.0,kcal,3.6,g,2.3,g,4.6,g,4.6,g,3.1,g,0.13,g,0.052,g,264.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,c,Lácteos y Derivados
"Leche de Avena, Ecológica",1L,Yosoy,"Plant-based foods and beverages, Beverages, Plant-based foods, Cereals and potatoes, Dairy substitutes, Cereals and their products, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Cereal-based drinks, Oat-based drinks",100g,100g,48.0,kcal,0.7,g,0.1,g,8.5,g,4.5,g,1.6,g,0.03,g,0.012,g,203.0,kJ,en:plant-based-milk-substitutes,"en:beverages,en:plant-based-milk-substitutes",en:1-unprocessed-or-minimally-processed-foods,c,Lácteos y Derivados
