,product_name_es,quantity,brands,categories,nutrition_data_per,nutrition_data_prepared_per,energy-kcal_value,energy-kcal_unit,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,off:food_groups,off:food_groups_tags,off:nova_groups_tags,off:nutriscore_grade,Categoria
2465,Higos negros,500g,"Frutas AZ, SL","Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Frutas y sus productos, Frutas",100g,100g,144.5,,2.6,,,,,,2.4,,,,0.2,,,,,,en:fruits,"en:fruits-and-vegetables,en:fruits",unknown,a,"Frutas, Verduras y Legumbres"
2466,Filete de lomo,750g,Hacendado,"Productos a base de carne, Carnes, Carne de cerdo y sus productos, Carne de cerdo",100g,100g,152.0,kcal,8.9,g,3.28,g,0.0,g,0.0,g,18.0,g,0.15,g,0.06,g,635.0,kJ,en:meat-other-than-poultry,"en:fish-meat-eggs,en:meat,en:meat-other-than-poultry",unknown,b,"Carne, Aves y Productos Cárnicos"
2467,KERUAK Pistacho Barrita energetica,50g,The Food Beat,"Botanas, Snacks dulces, Barritas, Suplementos dietéticos, Suplementos de culturismo, Barritas energéticas",100g,100g,423.0,kcal,23.0,g,2.3,g,39.0,g,37.0,g,11.0,g,0.01,g,0.004,g,423.0,kcal,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",en:3-processed-foods,e,"Snacks, Dulces y Postres"
2468,Yogur Natural,,Sandra,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Postres, Postres lácteos, en:Fermented dairy desserts, Yogures, en:Plain fermented dairy desserts, Yogures naturales",100g,100g,71.0,kcal,3.47,g,2.1,g,5.16,g,5.16,g,4.7,g,0.11,g,0.044,g,71.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:4-ultra-processed-food-and-drink-products,b,Lácteos y Derivados
2469,"Brocoli,coliflor y zanahoria",,Dia,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Verduras y hortalizas y sus productos, Congelados, Alimentos de origen vegetal congelados, Verduras y hortalizas congeladas",100g,100g,37.0,kcal,0.5,g,0.1,g,5.0,g,1.0,g,1.6,g,0.2,,,,37.0,kcal,en:vegetables,"en:fruits-and-vegetables,en:vegetables",en:1-unprocessed-or-minimally-processed-foods,a,"Frutas, Verduras y Legumbres"
2470,BandaChoc,150,bandama,"Botanas, Snacks dulces, Galletas y pasteles",100g,100g,496.0,kcal,20.2,g,16.9,g,72.1,g,27.5,g,6.57,g,0.54,g,0.216,g,496.0,kcal,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",en:4-ultra-processed-food-and-drink-products,e,"Cereales, Panadería y Pasta"
2471,josefillo,18gr,josefillo,"Cacao y sus productos, Cacaos y chocolates en polvo, Cacaos en polvo",100g,100g,467.0,,2.12,g,1.3,g,80.0,g,75.2,g,6.13,g,0.01,g,0.004,g,,,,,en:3-processed-foods,e,"Snacks, Dulces y Postres"
2473,pan de molde,680g,Bimbo,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Panes, Panes de molde, Panes integrales",100g,100g,381.5,,8.5,,,,,,3.3,,,,0.535,,,,,,en:bread,"en:cereals-and-potatoes,en:bread",en:4-ultra-processed-food-and-drink-products,a,"Cereales, Panadería y Pasta"
2474,"Queso tierno de vaca, cabra y oveja","0,400 g",RECORD,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos",100g,100g,351.0,kcal,29.0,g,19.0,g,3.0,g,1.0,g,23.0,g,1.32,g,0.528,g,1475.0,kJ,en:cheese,"en:milk-and-dairy-products,en:cheese",en:3-processed-foods,d,Lácteos y Derivados
2475,Añejo fuerte,"0,331 kg",Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Quesos de leche de oveja, Queso oveja viejo",100g,100g,470.0,kcal,40.0,g,28.0,g,1.0,g,1.0,g,25.0,g,1.7,g,0.68,g,470.0,kcal,en:cheese,"en:milk-and-dairy-products,en:cheese",en:4-ultra-processed-food-and-drink-products,d,Lácteos y Derivados
